Sale_ID,Store_ID,Product_ID,Customer_ID,Staff_ID,Quantity,Unit_Price,Sale_Date,Sales_Channel,Customer_Name,Age,Gender,City,Purchase_Channel,Total_Purchases,Product_Name,Category,Color,Description,Size,Price,Acquisition_Cost,Recency,Frequency,Monetary,YearMonth
1,1,259,41,499,30,175.88,2020-04-19 13:51:40,Online,Lourenço Branco,24,M,Cascais,Online,442.24,Harum,Roupas,Vermelho,Assumenda aut dolor ab saepe non repellat.,S,53.82,34.55,167,16,318902.95,2020-04
2,1,898,308,207,90,83.19,2016-05-16 04:52:08,Física,Frederico Loureiro,62,M,Vila do Corvo,Física,335.6,Eius,Calçado,Rosa,Excepturi quae esse magnam accusantium esse architecto doloribus.,37,54.14,13.43,38,25,673322.3,2016-05
3,3,357,910,477,88,682.42,2018-11-30 17:45:41,Online,Ema Leal-Mota,31,F,Silves,Física,577.83,Quasi,Roupas,Laranja,Nam inventore reprehenderit magnam ab.,XS,75.15,43.01,122,22,472317.77,2018-11
4,1,490,914,354,63,365.5,2024-12-31 15:53:01,Online,Gaspar Neto,44,M,Lisboa,Física,496.27,Voluptatibus,Roupas,Branco,Quia dolorem illum occaecati veritatis possimus.,XL,30.51,29.78,1,17,447891.85,2024-12
5,4,341,92,384,47,182.52,2019-03-21 17:00:00,Física,Débora Silva,65,M,Faro,Física,222.93,Suscipit,Roupas,Vermelho,Nobis adipisci non.,XXL,84.84,26.49,20,36,861200.31,2019-03
6,1,372,58,471,74,148.25,2017-08-22 14:16:52,Online,Filipa Carneiro,51,M,Vila do Porto,Online,295.29,Sapiente,Calçado,Preto,Dolorum quae eius debitis voluptate velit numquam soluta.,45,29.7,14.45,26,20,378310.64,2017-08
7,5,506,143,413,62,841.36,2017-10-30 01:15:12,Online,Vera Gonçalves,49,F,Vila Real de Santo António,Física,843.4,Quos,Calçado,Azul,Labore iure eum autem fugiat.,43,26.47,41.21,1178,11,315453.02,2017-10
8,1,833,903,335,62,340.15,2018-06-05 18:07:10,Online,Salvador Nogueira,18,M,Silves,Física,593.59,Quia,Calçado,Verde,Illum quis provident ducimus.,43,95.62,31.7,9,15,436982.02,2018-06
9,1,560,672,125,68,81.98,2022-11-23 18:16:01,Física,Clara Pereira,52,F,Amarante,Física,597.38,Doloribus,Calçado,Branco,Beatae placeat placeat pariatur dolorum sit unde illum.,35,57.34,19.17,393,23,563807.41,2022-11
10,3,911,494,393,85,217.73,2022-05-31 02:30:43,Online,Kelly Leal,68,M,Vila do Bispo,Física,808.31,Consequuntur,Calçado,Roxo,Cumque quisquam dolores dolorem voluptates dolor.,38,99.86,16.19,1,25,680159.28,2022-05
11,2,743,565,16,36,346.65,2019-12-17 18:18:24,Física,José Jesus,61,F,Valença,Online,420.79,Necessitatibus,Calçado,Roxo,Reprehenderit saepe assumenda esse.,41,40.9,49.0,50,20,457570.80000000005,2019-12
12,5,985,436,388,52,917.16,2022-07-21 09:53:14,Física,Rodrigo Assunção,45,F,Albufeira,Online,608.45,Possimus,Calçado,Verde,Nam quasi aspernatur modi.,39,28.23,15.23,281,21,611432.32,2022-07
13,3,343,833,102,84,480.28,2024-11-04 12:52:40,Física,Leonardo Marques,49,F,Idanha-a-Nova,Online,949.71,Nihil,Roupas,Cinzento,Ratione ipsa voluptates deserunt nostrum.,XS,74.19,22.79,58,28,796804.87,2024-11
14,3,162,836,62,49,105.68,2018-03-21 08:16:40,Física,Benedita Amaral,62,F,Lisboa,Online,323.46,Nihil,Roupas,Vermelho,Fugit tempore commodi at aliquid quis eum itaque.,M,63.65,28.09,70,21,329294.58999999997,2018-03
15,5,647,289,360,50,428.63,2023-09-03 22:09:37,Física,Clara Tavares,50,F,Fátima,Física,729.78,Repellendus,Calçado,Branco,Quod voluptatem ducimus officiis expedita unde suscipit.,43,34.96,44.02,19,17,379527.18,2023-09
16,2,82,336,296,16,874.05,2023-08-25 14:41:25,Física,Emília Freitas,21,F,Vila Nova de Santo André,Física,695.69,Labore,Calçado,Verde,Enim nam maiores facilis accusantium.,43,59.54,14.39,244,15,511595.31999999995,2023-08
17,1,207,975,200,87,23.34,2017-03-10 04:22:37,Física,Gabriel Cunha,18,M,Tavira,Online,197.25,Dolorum,Calçado,Verde,Iusto minus natus reprehenderit numquam facere nemo.,39,58.58,25.32,477,21,564963.94,2017-03
18,3,189,689,119,25,546.54,2021-09-13 07:59:11,Física,Santiago Lima,69,F,Odemira,Online,797.16,Velit,Roupas,Vermelho,Nam expedita temporibus hic impedit recusandae.,L,46.15,20.39,132,20,510269.36,2021-09
19,3,810,76,145,12,564.32,2018-06-09 06:27:50,Online,Mia-Lúcia Carneiro,65,M,Mealhada,Física,952.49,Praesentium,Roupas,Rosa,Voluptates dolores et asperiores.,XS,41.2,43.18,8,16,339697.91,2018-06
20,2,71,107,196,88,236.24,2014-10-28 17:09:51,Física,Luís Garcia,31,F,Alcobaça,Online,416.31,In,Calçado,Rosa,Alias porro fugit reiciendis maiores similique fuga.,39,52.53,17.69,257,25,616962.98,2014-10
21,4,743,341,12,93,757.58,2017-12-16 05:11:10,Física,Henrique Vicente,52,F,Marinha Grande,Física,197.87,Necessitatibus,Calçado,Roxo,Reprehenderit saepe assumenda esse.,41,40.9,49.0,241,25,674955.62,2017-12
22,4,482,362,456,97,814.23,2018-01-21 03:09:52,Física,Sérgio de Morais,34,M,Machico,Online,904.93,Aliquid,Calçado,Verde,At nemo a.,44,82.95,30.58,6,25,503683.87,2018-01
23,3,20,60,108,13,286.32,2015-09-11 06:27:03,Online,Jorge Fonseca,22,M,Castro Verde,Online,957.53,Nostrum,Roupas,Amarelo,Atque veritatis recusandae provident sunt.,M,25.14,39.42,375,19,395774.70999999996,2015-09
24,4,694,124,158,9,803.06,2024-10-02 10:29:19,Online,Alícia-Maria Simões,22,M,Sabugal,Online,932.11,Delectus,Calçado,Vermelho,Numquam distinctio ut dignissimos.,38,63.96,15.24,19,23,577891.4,2024-10
25,1,754,589,173,8,603.99,2021-03-01 16:43:12,Online,Adriana Gaspar,51,M,Angra do Heroísmo,Online,773.69,Accusantium,Roupas,Vermelho,Ipsa amet magnam et quas amet magni consequatur.,XS,59.26,13.17,1,22,649954.46,2021-03
26,5,426,812,19,51,357.96,2021-06-09 19:33:57,Online,Alexandre Domingues,29,M,Silves,Física,421.62,Similique,Calçado,Amarelo,Molestias ex sed ut fugit ullam.,35,76.23,15.48,479,21,672079.5,2021-06
27,3,553,128,19,5,140.71,2023-05-24 15:03:30,Online,Henrique Machado,65,M,Alenquer,Online,852.76,Omnis,Calçado,Verde,Corrupti hic rem eveniet nemo odit.,42,57.78,11.0,154,22,523373.43,2023-05
28,4,182,327,404,90,219.71,2014-08-21 16:40:40,Online,Afonso Correia-Barbosa,19,M,Praia da Vitória,Online,411.38,Quibusdam,Roupas,Verde,Cum facilis quam architecto.,M,84.98,18.9,83,25,516375.29,2014-08
29,5,169,544,338,92,576.32,2022-07-22 16:07:22,Online,Gustavo Lopes,24,M,Arcos de Valdevez,Online,625.97,Voluptates,Calçado,Vermelho,Nihil quisquam aliquid magni voluptates laudantium.,41,41.6,24.36,219,22,465474.15,2022-07
30,2,135,318,62,85,891.72,2023-06-02 07:05:59,Física,Gil Fonseca,55,F,Vila Franca do Campo,Online,990.7,Saepe,Roupas,Verde,Aliquam aspernatur neque molestiae quaerat facere dicta.,M,88.74,31.14,95,19,561546.21,2023-06
31,2,431,240,218,51,304.09,2023-12-06 06:15:43,Física,Filipa Santos,44,M,Lagos,Online,912.07,Nemo,Roupas,Rosa,Quia iure magni ipsum ullam nemo.,M,36.05,30.07,392,17,400091.05,2023-12
32,1,356,368,446,22,715.17,2023-03-31 10:09:49,Online,Francisco Nascimento,62,M,Trofa,Online,157.83,Voluptas,Calçado,Preto,Odio eveniet odit ex.,38,98.03,41.58,249,17,594442.96,2023-03
33,2,771,770,156,34,82.86,2016-01-12 05:02:41,Física,Bryan Moura,53,M,Velas,Física,504.93,Rerum,Calçado,Verde,Officiis labore quod aperiam perspiciatis.,36,87.91,21.15,616,17,377211.54000000004,2016-01
34,5,149,289,7,51,847.32,2022-03-08 08:07:58,Online,Clara Tavares,50,F,Fátima,Física,729.78,Fugit,Roupas,Preto,Ex consectetur aliquid error eius repudiandae qui unde.,M,84.89,43.26,19,17,379527.18,2022-03
35,3,56,815,350,24,476.64,2017-03-29 04:22:33,Online,Lucas Ferreira,30,M,Alcácer do Sal,Física,595.25,Placeat,Calçado,Cinzento,Libero quasi eaque quaerat veniam quia.,36,47.17,37.98,285,14,417686.94,2017-03
36,2,652,822,262,76,337.18,2021-12-15 06:50:08,Física,Tomás Campos,63,F,Montalegre,Física,397.01,Quaerat,Roupas,Amarelo,Mollitia nobis cupiditate inventore.,XXL,58.48,20.66,4,21,690254.6900000001,2021-12
37,4,588,912,295,1,880.01,2015-03-01 01:18:35,Física,Emília Valente,52,M,Santa Cruz das Flores,Online,259.08,Alias,Calçado,Amarelo,Nihil necessitatibus fuga iste error ipsum repudiandae.,38,31.45,39.27,16,25,504099.16,2015-03
38,4,136,687,381,19,203.71,2021-02-11 13:28:53,Online,Luísa Henriques,24,F,Estremoz,Online,136.86,Architecto,Calçado,Preto,Veritatis doloribus quia harum.,38,20.91,37.69,366,17,493500.49,2021-02
39,5,805,693,376,1,721.19,2014-11-09 08:54:09,Online,Mara-Kelly Brito,68,M,Portalegre,Física,521.87,Omnis,Roupas,Laranja,Quis dignissimos quas pariatur.,S,96.7,34.76,88,18,219120.23,2014-11
40,4,813,959,114,22,343.33,2021-05-05 02:01:41,Física,Adriana Rodrigues,54,M,Caminha,Física,729.0,Ex,Roupas,Rosa,Ratione non fugit non odit voluptatum libero.,XL,94.17,35.66,334,18,450743.72,2021-05
41,5,274,673,346,93,706.11,2016-10-09 01:58:08,Online,Francisca Ferreira,69,M,Almodôvar,Online,931.52,Corrupti,Roupas,Branco,Voluptatem molestias ratione.,L,91.51,44.59,289,15,350145.08,2016-10
42,4,160,42,342,89,788.19,2016-04-08 11:35:16,Física,Sara Soares-Sá,45,F,Santa Cruz da Graciosa,Online,199.05,Perspiciatis,Calçado,Cinzento,Pariatur tenetur totam suscipit dolorum quod non rem.,42,61.09,18.96,79,18,524568.31,2016-04
43,2,425,844,24,58,278.76,2019-08-31 13:12:06,Online,Lucas Borges-Leite,44,M,Ponte de Sor,Física,224.36,Molestias,Roupas,Laranja,Reprehenderit ipsam labore dignissimos laboriosam enim ea.,L,88.72,10.02,102,19,429843.54,2019-08
44,2,78,900,65,39,141.59,2021-05-29 04:57:06,Física,Alícia-Petra Vaz,66,F,Castro Verde,Online,253.16,Eum,Roupas,Roxo,Autem quisquam incidunt.,S,89.64,43.12,167,20,478814.83,2021-05
45,3,704,227,9,38,909.61,2015-12-12 19:36:09,Online,Mafalda Nascimento,58,M,Funchal,Online,515.01,Corporis,Calçado,Azul,Odio iusto voluptatibus reiciendis.,35,74.93,35.07,394,27,871973.05,2015-12
46,3,936,53,236,23,68.91,2016-03-16 09:06:04,Física,Renato Mota,61,F,Setúbal,Física,651.66,Illum,Roupas,Verde,Libero doloribus exercitationem autem modi dolor pariatur.,S,45.94,47.13,35,17,404157.12,2016-03
47,3,27,89,99,74,530.58,2018-10-11 08:30:32,Online,Iara Leal,26,M,Sines,Online,716.95,Commodi,Calçado,Vermelho,Voluptate amet rerum quae neque perspiciatis.,35,98.15,43.41,69,18,456655.12,2018-10
48,4,222,721,28,72,375.12,2016-10-26 04:54:36,Física,Luísa Lourenço,39,F,Moura,Online,596.45,Maxime,Calçado,Branco,Eos eum dolorum dolores.,35,32.67,11.56,37,20,386775.73,2016-10
49,3,422,207,415,30,868.9,2019-04-03 19:08:49,Online,Rita-Juliana Torres,62,M,Setúbal,Física,900.38,Repudiandae,Calçado,Preto,Eligendi repellat labore incidunt a id.,45,78.49,47.54,136,21,516520.9,2019-04
50,5,391,554,95,57,923.27,2020-08-28 20:44:26,Online,Camila Moura,31,M,Oliveira do Bairro,Online,742.24,Tempora,Roupas,Vermelho,Natus temporibus mollitia assumenda perspiciatis sapiente quasi laudantium.,M,91.94,33.19,343,24,467559.12,2020-08
